name,ring,quadrant,isNew,description
Openshift,adopt,platforms,TRUE,"<p>The BC Gov OpenShift Container Platform Service is a multi-tenant container platform that government application development teams may use to develop and deploy modern, cloud native software applications. The service provides development teams with a set of isolated project spaces (namespaces) with associated resource quotas in which they can develop and deploy their applications and tools supporting their development lifecycle.  Openshift is the defacto platform for IIT's DevOps initiatives. Migrating to Openshift 4 in fall 2020.</p>"
Oracle Solaris,retire,platforms,FALSE,"<p>Oracle Solaris is a Unix based platform acquired by Oracle as part of the Sun Microsystems purchase.  Prior to widespread adoption of Linux, IIT used the Solaris platform for database and middleware servers.  Solaris has been marked as end of life and IIT prefers Linux for all new builds.</p>"
Red Hat Linux,adopt,platforms,FALSE,"<p>Red Hat® Enterprise Linux® is one of the most popular Linux platforms, and the favored Linux platform offered by our hosting provider DXC. It’s the foundation from which you can scale existing apps—and roll out emerging technologies—across bare-metal, virtual, container, and all types of cloud environments.</p>"
WSO2 API,adopt,platforms,FALSE,<p>IIT currently uses the community edition of WSO2 as a full API management platform.  Evaluation of other products such as 3Scale and Kong is currently underway.</p>
.Net Core,explore,languages and frameworks,TRUE,"<p>.NET Core is a free and open-source, managed computer software framework for Windows, Linux, and macOS operating systems. It is a cross-platform successor to.NET Framework.</p>"
.Net Languages,retire,languages and frameworks,FALSE,<p>.Net is a software framework developed by Microsoft that runs primarily on Microsoft Windows.  Does IIT have a statement on .net legacy continued use?  Do we need a blip for it?</p>
Angular,adopt,languages and frameworks,FALSE,"<p>Angular is a TypeScript-based open-source Javascript framework for building user interfaces and single-page applications. IIT architecture does not promote a single javascipt framework over another and is as a local development project decision.  Factors like specific project requirements, integrations with other BC Gov appliacations, and team composition and experience with a given framework will influence and inform choices in selecting a framework.</p>"
JavaScript,adopt,languages and frameworks,FALSE,<p>Add Description</p>
Python,adopt,languages and frameworks,FALSE,<p>Add Description. </p>
React,adopt,languages and frameworks,FALSE,"<p>React is an open-source JavaScript library for building user interfaces.  React can be used a base in the development of single-page or mobile applications but will usually requires the use of additional supporting libraries for state management and routing.  IIT architecture does not promote a single javascipt framework over another and is as a local development project decision.  Factors like specific project requirements, integrations with other BC Gov appliacations, and team composition and experience with a given framework will influence and inform choices in selecting a framework. </p>"
Vue.js,explore,languages and frameworks,FALSE,"<p>Vue.js is an open-source JavaScript framework for building user interfaces and single-page applications.  IIT architecture does not promote a single javascipt framework over another and is as a local development project decision.  Factors like specific project requirements, integrations with other BC Gov appliacations, and team composition and experience with a given framework will influence and inform choices in selecting a framework.</p>"
