name,ring,quadrant,isNew,description
Amazon - S3,adopt,platforms,TRUE,"<p>The Object Storage Service is for Ministry and Greater Public Sector clients to store data as objects using standard protocols including S3, NFS, and HTTP. It provides a scalable, secure, fully managed object storage platform with high availability and enterprise features. The Object Storage Service offering provides a cheaper solution for long-term, archival data storage. The data best-suited to this offering are objects over 100 KB, that will be retained for weeks or months, while only being read occasionally (on the order of weeks). Object Storage can be accessed in a similar fashion to a shared drive, and also programmatically with the REST API. Use of the API is encouraged to streamline data transfer between applications and Object Storage.</p>"
Amazon Web Services,explore,platforms,TRUE,"<p>Amazon Web Services (AWS) is a provider of IaaS (Infrastructure-as-a-Service) and PaaS (Platform-as-a-Service) for cloud ecosystems, which can be combined to create a scalable cloud application without worrying about delays related to infrastructure provisioning (compute, storage, and network) and management.  IIT is currently evaluating several public cloud services, including AWS.</p>"
Azure Web Services,explore,platforms,TRUE,"<p>Microsoft Azure, formerly known as Windows Azure, is Microsoft's public cloud computing platform. It provides a range of cloud services, including those for compute, analytics, storage and networking. IIT is currently evaluating several public cloud services, including Microsoft Azure.  OCIO has also provisioned Azure on premise appliances for DBaaS workloads and select Azure Cloud services.</p>"
Google Cloud,explore,platforms,TRUE,"<p>Google Cloud is a public cloud computing platform offered by Google, providing compute, managed services, container and API platforms and more.  IIT is currently evaluating several public cloud services, including Google Cloud.</p>"
IBM Cloud,explore,platforms,TRUE,"<p>IBM Cloud is a public cloud computing platform offered by IBM, providing compute, managed services, container and API platforms and more.  IIT is currently evaluating several public cloud services, including IBM Cloud.</p>"
Kubernetes,explore,platforms,TRUE,"<p>Kubernetes (K8s) is an open-source system for automating deployment, scaling, and management of containerized applications. Managed Kubernetes services are available through all major public cloud providers.  IIT and OCIO are assessing interopablity between on premise Openshift and public cloud Kubernetes.</p>"
Microsoft Windows,adopt,platforms,FALSE,<p>Microsoft Windows is Microsoft's flagship operating system.  Windows is primarily used in IIT for COTS based applications where Linux is not supported.</p>
Openshift,adopt,platforms,TRUE,"<p>The BC Gov OpenShift Container Platform Service is a multi-tenant container platform that government application development teams may use to develop and deploy modern, cloud native software applications. The service provides development teams with a set of isolated project spaces (namespaces) with associated resource quotas in which they can develop and deploy their applications and tools supporting their development lifecycle.  Openshift is the defacto platform for IIT's DevOps initiatives. Migrating to Openshift 4 in fall 2020.</p>"
Oracle Solaris,retire,platforms,FALSE,"<p>Oracle Solaris is a Unix based platform acquired by Oracle as part of the Sun Microsystems purchase.  Prior to widespread adoption of Linux, IIT used the Solaris platform for database and middleware servers.  Solaris has been marked as end of life and IIT prefers Linux for all new builds.</p>"
Red Hat Linux,adopt,platforms,FALSE,"<p>Red HatÂ® Enterprise LinuxÂ® is one of the most popular Linux platforms, and the favored Linux platform offered by our hosting provider DXC. Itâ€™s the foundation from which you can scale existing appsâ€”and roll out emerging technologiesâ€”across bare-metal, virtual, container, and all types of cloud environments.</p>"
WSO2 API,adopt,platforms,FALSE,<p>IIT currently uses the community edition of WSO2 as a full API management platform.  Evaluation of other products such as 3Scale and Kong is currently underway.</p>
.Net Core,explore,languages and frameworks,TRUE,"<p>.NET Core is a free and open-source, managed computer software framework for Windows, Linux, and macOS operating systems. It is a cross-platform successor to.NET Framework.</p>"
.Net Languages,retire,languages and frameworks,FALSE,<p>.Net is a software framework developed by Microsoft that runs primarily on Microsoft Windows.  Does IIT have a statement on .net legacy continued use?  Do we need a blip for it?</p>
Angular,adopt,languages and frameworks,FALSE,"<p>Angular is a TypeScript-based open-source Javascript framework for building user interfaces and single-page applications. IIT architecture does not promote a single javascipt framework over another and is as a local development project decision.  Factors like specific project requirements, integrations with other BC Gov appliacations, and team composition and experience with a given framework will influence and inform choices in selecting a framework.</p>"
JavaScript,adopt,languages and frameworks,FALSE,<p>Add Description with IIT Context.</P>
Swagger,adopt,languages and frameworks,FALSE,"<p>Swagger is an open-source software framework backed by a large ecosystem of tools that helps developers design, build, document, and consume RESTful web services. IIT considers the OpenAPI specification the defacto method of describing RESTful API's.</P>"
Node.js,adopt,languages and frameworks,FALSE,"<p>Node.js is an open-source, cross-platform, JavaScript runtime environment (Framework) that executes JavaScript code outside a web browser. Node.js represents a ""JavaScript everywhere"" paradigm unifying web-application development around a single programming language, rather than different languages for server-side and client-side scripts.  Need IIT context.>/p>"
Python,adopt,languages and frameworks,FALSE,<p>Add Description with IIT Context.</P>
React,adopt,languages and frameworks,FALSE,"<p>React is an open-source JavaScript library for building user interfaces.  React can be used a base in the development of single-page or mobile applications but will usually requires the use of additional supporting libraries for state management and routing.  IIT architecture does not promote a single javascipt framework over another and is as a local development project decision.  Factors like specific project requirements, integrations with other BC Gov appliacations, and team composition and experience with a given framework will influence and inform choices in selecting a framework. </p>"
Vue.js,adopt,languages and frameworks,FALSE,"<p>Vue.js is an open-source JavaScript framework for building user interfaces and single-page applications.  IIT architecture does not promote a single javascipt framework over another and is as a local development project decision.  Factors like specific project requirements, integrations with other BC Gov appliacations, and team composition and experience with a given framework will influence and inform choices in selecting a framework.</p>"
WebADE,endure,languages and frameworks,FALSE,"<p>The Web Application Development Environment (WebADE) is a J2EE application framework which aides in delivering common services required by corporate applications. The focus of WebADE is to provide applications with flexible and consistent authorization services in an enterprise environment. IIT uses WebADE in a large majority of its hosted applications, and is currently assessing KeyCloak as the next evolution of authentication and authorization services.</p>"
