name,ring,quadrant,isNew,description
Inspections,Medium,Operating Capabilities,TRUE,"<p><b>CIMS, NRIS</b><br>CIMS only used to view historical data; NRIS replaced CIMS; CIMS still used to review compliance history; Moving data from client and FTA is manual - could be automated, real-time; Some NRIS enhancements are outstanding, slow turn around from IITD; Need RRS integration;</p>"
Investigations,Low Maturity,Operating Capabilities,TRUE,<p><b>ERA</b><br>Potentially expand NRIS to replace ERA; May need to keep ERA for historical data; Business case being prepared with options; Penalties are invoices through GBMS but initiated by ERA - this requirements needs to be kept;</p>
Appeals,Low Maturity,Operating Capabilities,TRUE,<p><b>ERA</p></b>
Electronic Forms Submission,Low Maturity,Enabling Capabilities,TRUE,<p><b>ESF</p></b>
Reporting,Medium,Enabling Capabilities,TRUE,"<p><b>JCRS, CRS</p></b>"
Calculator,Medium,Enabling Capabilities,TRUE,<p><b>NROS</p></b>
Mapping,Medium,Enabling Capabilities,TRUE,"<p><b>CWM, SOS, MapView</p></b>"
Financials/Corporate,Medium,Enabling Capabilities,TRUE,"<p><b>CAS, CHIPS</p></b>"
File Transfer,Medium,Enabling Capabilities,TRUE,<p><b>FTP</p></b>
Workflow,Medium,Enabling Capabilities,TRUE,<p><b>BPMN</p></b>
Notifications,Medium,Enabling Capabilities,TRUE,"<p><b>Oracle WebMail, Mail Scheduler</p></b>"
API Management,High,Enabling Capabilities,TRUE,<p><b>WSO2</p></b>
Strategy Development,High,Planning Capabilties,TRUE,
Business Planning,High,Planning Capabilties,TRUE,
Budget Planning,High,Planning Capabilties,TRUE,
Program Development and Monitoring,High,Planning Capabilties,TRUE,
